"name";"url";"comment"
"Amazon.DE";"https://www.amazon.de/gp/search?ie=UTF8&amp;keywords={fulltext}&amp;tag={amazonID}&amp;index=books";""
"Amazon.COM";"https://www.amazon.com/s/url=search-alias=aps&amp;field-keywords={fulltext}";""
"Google.DE";"https://books.google.de/books?as_vt={title}&amp;as_auth={author}";""
"Google.COM";https://books.google.com/books?as_vt={title}&amp;as_auth={author}";""
"Hugendubel.DE";"https://www.hugendubel.de/de/quickSearch?searchString={fulltext}&facetNodeId=1&mainsearchSubmit=Suche";""
"Buchfreund.DE";"https://www.buchfreund.de/results.php?q={fulltext}";"MetaSearch for used books"
"ZVAB.COM";"https://www.zvab.com/advancedSearch.do?author={author}&amp;title={title}&amp;sortBy=1";"Zentrales Verzeichnis Antiquarischer Bücher (https://de.wikipedia.org/wiki/Zentrales_Verzeichnis_Antiquarischer_B%C3%BCcher)"
"Thalia.AT";"https://www.thalia.at/shop/ama_homestartseite/suche/?sq={fulltext}";""
"Thalia.CH";"https://www.thalia.ch/shop/ama_homestartseite/suche/?sq={fulltext}";""
"Thalia.DE";"https://www.thalia.de/shop/ama_homestartseite/suche/?sq={fulltext}";""
"LovelyBooks.DE";"https://www.lovelybooks.de/suche/{fulltext}/";"Social Stuff"
"abebooks.COM";"https://www.abebooks.com/servlet/SearchResults?an={author}&amp;tn={title}";"Used books / Antiquariat"
"abebooks.DE";"https://www.abebooks.de/servlet/SearchResults?an={author}&amp;tn={title}";"Used books / Antiquariat"
"BookCrossing.COM";"https://www.bookcrossing.com/search/?title={title}&amp;author={author}&amp;status=0";"gratis exchange (see https://de.wikipedia.org/wiki/Bookcrossing)"
"BookLooker.DE";"https://www.booklooker.de/app/result.php?mediaType=0&amp;autor={author}&amp;titel={title}";"market for used books, videos, ..."
"Buecher.DE";"https://www.buecher.de/search/query/{fulltext}";""
"Terrashop.DE";"https://www.terrashop.de/suche.php?begriff={fulltext}";"Reduzierte Mängelware und ältere Auflagen"
