"name";"url";"comment"
"Amazon.DE";"https://www.amazon.de/gp/search?ie=UTF8&amp;keywords={isbn}&amp;tag={amazonID}&amp;index=books";""
"Amazon.COM";"https://www.amazon.com/s/url=search-alias=aps&amp;field-keywords={isbn}";""
"Google.DE";"https://books.google.de/books?isbn={isbn}";""
"Google.COM";https://books.google.com/books?isbn={isbn}";""
"Thalia.AT","https://www.thalia.at/shop/ama_homestartseite/suche/?sq={isbn}";""
"Thalia.CH","https://www.thalia.ch/shop/ama_homestartseite/suche/?sq={isbn}";""
"Thalia.DE","https://www.thalia.de/shop/ama_homestartseite/suche/?sq={isbn}";""
"abebooks.DE";"https://www.abebooks.de/servlet/BookSearchPL?ph=2&amp;isbn={isbn}";"Used books / Antiquariat"
"BookCrossing.COM";"https://www.bookcrossing.com/search/?isbn={isbn}&amp;status=0";"gratis exchange (see https://de.wikipedia.org/wiki/Bookcrossing)"
"BookLooker.DE";"https://www.booklooker.de/app/result.php?mediaType=0&amp;isbn={isbn}";"market for used books, videos, ..."
"Buchfreund.DE";"https://www.buchfreund.de/results.php?q={isbn}";"MetaSearch for used books"
"EuroBuch.COM";"https://www.eurobuch.com/buch/isbn/{isbn}.html";"MetaSearch for used books"
"ZVAB.COM";"https://www.zvab.com/servlet/SearchResults?isbn={isbn}";"Zentrales Verzeichnis Antiquarischer Bücher (http://de.wikipedia.org/wiki/Zentrales_Verzeichnis_Antiquarischer_B%C3%BCcher)"
"LibraryThing";"https://www.librarything.de/search_works.php?q={isbn}";"Social Stuff"
"LovelyBooks.DE";"https://www.lovelybooks.de/suche/{isbn}/";"Social Stuff"
"Buecher.DE";"https://www.buecher.de/search/query/{isbn}";""
"Terrashop.DE";"https://www.terrashop.de/suche.php?begriff={isbn}";"Reduzierte Mängelware und ältere Auflagen"
